agent,set
0,1 2
1,2 3 6
2,1 3 4 7 9 11 13 15 17 19 21 23 25 27 29 31 33 35
3,2 4 5 8 10 12 14 16
4,1 3 5 6 9 11 13 15 17 19 21 23 25 27 29 31 33 35
5,2 4 6 7 10 12 14 16 18
6,1 3 5 7 8 11 13 15 17 19 21 23 25 27 29 31 33 35
7,2 4 6 8 9 12 14 16
8,1 3 5 7 9 10 13 15 17 19 21 23 25 27 29 31 33 35
9,2 4 6 8 10 11 14 16 18
10,1 3 5 7 9 11 12 15 17 19 21 23 25 27 29 31 33 35
11,2 4 6 8 10 12 13 24
12,1 3 5 7 9 11 13 14 17 19 21 23 25 27 29 31 33 35
13,2 4 6 8 10 12 14 15 18 20 24
14,1 3 5 7 9 11 13 15 16 19 21 23 25 27 29 31 33 35
15,2 4 6 8 10 12 14 16 17 20 22 24
16,1 3 5 7 9 11 13 15 17 18 21 23 25 27 29 31 33 35
17,2 4 6 8 10 12 14 16 18 19 22 24
18,1 3 5 7 9 11 13 15 17 19 20 23 25 27 29 31 33 35
19,2 4 6 8 10 12 14 16 18 20 21 24 30
20,1 3 5 7 9 11 13 15 17 19 21 22 25 27 29 31 33 35
21,2 4 6 8 10 12 14 16 18 20 22 23 28 30
22,1 3 5 7 9 11 13 15 17 19 21 23 24 27 29 31 33 35
23,2 4 6 8 10 12 14 16 18 20 22 24 25 28 30 32
24,1 3 5 7 9 11 13 15 17 19 21 23 25 26 29 31 33 35
25,2 4 6 8 10 12 14 16 18 20 22 24 26 27 30 32 34
26,1 3 5 7 9 11 13 15 17 19 21 23 25 27 28 31 33 35
27,2 4 6 8 10 12 14 16 18 20 22 24 26 28 29 32 34
28,1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 30 33 35
29,2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 31 34
30,1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 31 32 35
31,2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 32 33
32,1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 31 33 34 36
33,2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 32 34 35
34,2 5 7 9 11 13 15 17 19 21 23 25 27 29 31 33 35 36
35,0 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 32 34 36
36,0 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 31 33 35
