agent,weight
0,0.00000200
1,0.00000200
2,0.00934000
3,0.00000600
4,0.00934400
5,0.00001000
6,0.00935000
7,0.00001600
8,0.00935600
9,0.00002200
10,0.00936200
11,0.00002800
12,0.00936800
13,0.00003400
14,0.00940200
15,0.00006800
16,0.00945800
17,0.00012400
18,0.00954600
19,0.00021200
20,0.00966800
21,0.00033400
22,0.00972800
23,0.00039400
24,0.01058800
25,0.00125400
26,0.01111400
27,0.00178000
28,0.01142800
29,0.00209400
30,0.01228800
31,0.00295400
32,0.01354200
33,0.00420800
34,0.00933600
35,0.47712300
36,0.33711700
